English,Khmer
abridge,ត្រូវបានបំព្រួញ
abridged,ត្រូវបានបំព្រួញ
abridgement,ត្រូវបានបំព្រួញ
abridging,abridging
abroad,នៅបរទេស
abrogate,និរាករណ៍
abrogated,និរាករណ៍
abrogating,abrogating
abrogation,និរាករណ៍
abrogations,និរាករណ៍
abrupt,ការរំខាន
abruptly,បានយ៉ាងឆាប់រហ័ស
abruptness,ការរំខាន
abscess,បូស
abscesses,បូសដែល
abscissa,abscissa
abscissae,abscissae
abscissas,abscissas
abscond,abscond
absconded,abscond
absconder,abscond
absconding,absconding
absconds,abscond
abseil,abseil
abseiled,abseiled
abseiler,abseiler
abseiling,abseiling
abseils,abseils
absence,អវត្តមាន
absences,អវត្តមាន
absent,អវត្តមាន
absented,អវត្តមាន
absentee,អវត្តមាន
absenteeism,អវត្តមាន
absentees,អវត្តមាន
absenting,absenting
absently,អវត្តមាន
absentminded,absentminded
absentmindedly,absentmindedly
absentmindedness,ឆាប់ភ្លេចភ្លាំង
absolute,ដាច់ខាត
absolutely,ពិត
absoluteness,ដាច់ខាត
absolutes,ច្បាស់លាស់
absolution,ពេញលេញ
absolutism,ពេញលេញ
absolutist,ផ្ដាច់ការ
absolutists,ផ្ដាច់ការ
absolve,absolve
absolved,absolved
absolves,absolves
absolving,absolving
absorb,ស្រូបយក
absorbed,ស្រូបយក
absorbency,ស្រូបយក
absorbent,ស្រូបយក
absorber,ស្រូបយក
absorbers,ស្រូបយក
absorbing,ស្រូបយក
absorbingly,absorbingly
absorbs,ស្រូបយក
absorption,ស្រូបយក
absorptions,ស្រូបយក
absorptive,ស្រូប
absorptivity,ស្រូបយក
abstain,ជៀសវាង
abstained,ជៀសវាង
abstainer,ជៀសវាង
abstainers,ជៀសវាង
abstaining,ជៀសវាង
abstains,ជៀសវាង
abstemious,abstemious
abstemiously,abstemiously
abstemiousness,abstemiousness
abstention,abstention
abstentions,abstention
abstinence,ការមិនរួមភេទ
abstinent,ការមិនរួមភេទ
abstract,អរូបី
abstracted,អរូបី
abstractedly,abstractedly
abstracting,abstracting
abstraction,ទាញយក
abstractions,អរូបី
abstractly,abstractly
abstracts,អរូបី
abstruse,abstruse
abstrusely,abstruse
absurd,ការមិនទំនងទាល់តែសោះ
absurder,ការមិនទំនងទាល់តែសោះ
absurdest,absurdest
absurdist,absurdist
absurdities,ការមិនទំនងទាល់តែសោះ
absurdity,ទំនងទាល់តែសោះ
absurdly,absurdly
abundance,ច្រើនក្រៃលែង
abundances,ច្រើនក្រៃលែង
abundant,ច្រើនក្រៃលែង
abundantly,យ៉ាងហ្នឹង
abuse,ការរំលោភបំពាន
abused,រងការរំលោភបំពាន
abuser,ធ្វើបាប
abusers,ការរំលោភបំពាន
abuses,ការរំលោភបំពាន
abusing,បំពាន
abusive,ការរំលោភបំពាន
abusively,ប្រមាថ
abusiveness,ការរំលោភបំពាន
abut,ជុំវិញ
abutment,ជុំវិញ
abutments,ជុំវិញ
abutted,ជុំវិញ
abutting,abutting
abuzz,ចេញផ្សាយ
aby,Aby
abysmal,ទម្លាប់
abysmally,ទម្លាប់
abyss,ជង្ហុកធំ
abyssal,abyssal
abysses,abyss
acacia,ដើមអាកាស្យា
academe,អប់រំ
academia,សាកលវិទ្យាល័យ
academic,សិក្សា
academical,អប់រំ
academically,ការអប់រំ
academician,បណ្ឌិត្យសភា
academicians,សិក្សាស្រាវជ្រាវជាន់
academics,សិក្សា
academies,សាលា
academy,សាលា
acanthus,acanthus
acapulco,Acapulco
accede,accede
acceded,acceded
acceding,acceding
accelerate,បង្កើនល្បឿន
accelerated,បង្កើនល្បឿន
accelerates,លឿន
accelerating,ពន្លឿន
acceleration,ការបង្កើនល្បឿន
accelerations,ការបង្កើនល្បឿន
accelerator,បង្កើនល្បឿន
accelerators,ឧបករណ៍បង្កើនល្បឿន
accelerometer,ល្បឿន
accelerometers,ល្បឿន
accent,ការបញ្ចេញសំឡេង
accented,សង្កត់សំឡេង
accenting,accenting
accents,ការសង្កត់សំឡេង
accentuate,accentuation
accentuated,accentuated
accentuates,accentuation
accentuating,accentuating
accentuation,accentuation
accept,ទទួលយក
acceptability,ការទទួលយកបាន
acceptable,អាចទទួលយកបាន
acceptably,អាចទទួលយកបាន
acceptance,ការទទួលយក
acceptances,ព្រមទទួល
accepted,ទទួលយក
accepting,ការទទួលយក
acceptor,អ្នកព្រមព្រៀង
acceptors,អ្នកព្រមព្រៀង
accepts,ទទួលយក
access,ការចូលដំណើរការ
accessed,ទស្សនា
accesses,ការចូលដំណើរការ
accessibility,មធ្យោបាយងាយស្រួល
accessible,អាចចូលដំណើរការបាន
accessing,ការចូលដំណើរការ
accession,ចូល
accessions,ញ្ឆិ
accessories,េ្រគងបន
accessory,គ្រឿងបន្លាស់
accidence,គ្រោះថ្នាក់
accident,គ្រោះថ្នាក់ចរាចរណ៍
accidental,ចៃដន្យ
accidentally,ចៃដន្យ
accidentprone,ងាយ​នឹង​គ្រោះថ្នាក់
accidents,គ្រោះថ្នាក់
acclaim,ព្រឹត្តិការណ៍
acclaimed,ការទទួលស្គាល់
acclaims,ការទទួលស្គាល់
acclamation,acclamation
acclamations,acclamations
acclimatisation,ការ acclimatization
acclimatise,acclimatise
acclimatised,acclimatised
acclimatising,acclimatising
accolade,ការផ្តល់រង្វាន់
accolades,ការផ្តល់រង្វាន់
accommodate,ផ្ទុក
accommodated,កន្លែងអង្គុយ
accommodates,ការស្នាក់នៅ
accommodating,ទីស្នាក់អាស្រ័យ
accommodation,ការស្នាក់នៅ
accommodations,ការស្នាក់នៅ
accompanied,អម
accompanies,បន្ទរ
accompaniment,បន្ទរ
accompaniments,បន្ទរ
accompanist,accompanist
accompany,អមដំណើរ
accompanying,ជាមួយ
accomplice,ដៃ
accomplices,អ្នកសមគំនិត
accomplish,សម្រេច
accomplished,ស្នាដៃ
accomplishes,សម្រេច
accomplishing,សម្រេច
accomplishment,សមិទ្ធផល
accomplishments,ស្នាដៃ
accord,កិច្ចព្រមព្រៀង
accordance,ស្របតាម
accorded,ព្រមព្រៀង
according,នេះបើយោងតាម
accordingly,ទៅតាម
accordion,អុង
accordionist,accordionist
accordions,អុង
accords,ព្រមព្រៀង
accost,accost
accosted,accosted
accosting,accosting
accosts,accosts
account,គណនី
accountability,គណនេយ្យភាព
accountable,គណនេយ្យភាព
accountancy,គណនេយ្យ
accountant,គណនេយ្យករ
accountants,គណនេយ្យករ
accounted,ចំនួន
accounting,គណនេយ្យ
accounts,គណនី
accra,អាក្រា
accredit,ការទទួលស្គាល់គុណភាពអប់រំ
accreditation,ការទទួលស្គាល់ជាផ្លូវការ
accredited,ទទួលស្គាល់
accrediting,accrediting
accredits,ការទទួលស្គាល់គុណភាពអប់រំ
accreted,accreted
accretion,ការកើនឡើង
accretions,: អំពីការកើន
accrual,បង្គរ
accruals,ប្រតិស្រុត
accrue,ជាប្រចាំ
accrued,ដែលកើតឡើង
accrues,ជាប្រចាំ
accruing,accruing
accumulate,ការប្រមូលផ្តុំ
accumulated,បង្គរ
accumulates,ការប្រមូលផ្តុំ
accumulating,កកកុញ
accumulation,ការប្រមូលផ្តុំ
accumulations,ការប្រមូលផ្តុំ
accumulative,សរុប
accumulator,accumulator
accumulators,ការប្រមូលផ្តុំ
accuracies,ភាពត្រឹមត្រូវ
accuracy,ភាព​ត្រឹមត្រូវ
accurate,ភាពត្រឹមត្រូវ
accurately,ត្រឹមត្រូវ
accursed,ត្រូវបំផ្លាញ
accusal,ការចោទប្រកាន់
accusals,ការចោទប្រកាន់
accusation,ការចោទប្រកាន់
accusations,ការចោទប្រកាន់
accusative,កម្មការកៈ
accusatory,accusatory
accuse,ចោទប្រកាន់
accused,ការចោទប្រកាន់
accuser,ការចោទប្រកាន់
accusers,ចោទប្រកាន់
accuses,ចោទ
accusing,ការចោទប្រកាន់
accusingly,accusingly
accustom,accustom
accustomed,ទម្លាប់ធ្វើការកត់សំគាល់
accustoming,accustoming
ace,សន្លឹកអាត់
aced,aced
acentric,acentric
acerbic,យ៉ាងចាស់ដៃ
acerbity,យ៉ាងចាស់ដៃ
acers,ក្រុមហ៊ុន Acer បាន
aces,សន្លឹកប៉ណ្ណោះ
acetal,acetic
acetate,acetate
acetates,acetic
acetic,ត acetic
acetone,អាសេតូន
acetylene,acetylene
ache,ការឈឺចាប់
ached,ឈឺពេញ
aches,ឈឺ
achievable,សចបាន
achieve,សម្រេចបាននូវ
achieved,សម្រេចបាន
achievement,សមិទ្ធិផល
achievements,សមិទ្ធិផល
achiever,សមិទ្ធិផល
achievers,ផល
achieves,សមិទ្ធិផល
achieving,ការសម្រេចបាននូវ
aching,ចិត្តមានបុរស
achingly,achingly
achings,achings
achromatic,achromatic
achy,រមាស់
acid,ទឹកអាស៊ីត
acidic,ទឹកអាស៊ីត
acidification,acidification
acidified,acidifying
acidify,acidifying
acidifying,acidifying
acidity,ទឹកអាស៊ីត
acidly,acidly
acidophiles,acidophiles
acidrain,ភ្លៀងអាស៊ីត
acids,អាស៊ីត
acknowledge,ទទួលស្គាល់
acknowledged,ទទួលស្គាល់
acknowledgement,ការទទួលស្គាល់
acknowledgements,ការទទួលស្គាល់
acknowledges,ទទួលស្គាល់
acknowledging,ទទួលស្គាល់
acknowledgment,ការទទួលស្គាល់
acknowledgments,ការទទួលស្គាល់
acme,Acme
acne,កើតមុន
acolyte,acolytes
acolytes,acolytes
aconite,aconite
acorn,ផ្លេសេន
acorns,acorns
acoustic,សូរស័ព្ទ
acoustical,សូរស័ព្ទ
acoustically,សូរស័ព្ទ
acoustics,សូរស័ព្ទ
acquaint,ស្គាល់
acquaintance,ស្គាល់គ្នា
acquaintances,ស្គាល់
acquainted,ស្គាល់
acquainting,ស្គាល់
acquaints,ស្គាល់
acquiesce,យល់ព្រម
acquiesced,យល់ព្រម
acquiescence,យល់ព្រម
acquiescent,យល់ព្រម
acquiescing,យល់ព្រម
acquire,ទទួល
acquired,បានទទួល
acquirer,ទិញ
acquirers,ទិញ
acquires,ទិញ
acquiring,ការទទួល
acquisition,ការទិញយក
acquisitions,ការទិញយក
acquisitive,លោភ
acquisitiveness,ការទិញយក
acquit,ការលើកលែង
acquited,ការលើកលែង
acquites,ការលើកលែង
acquits,ដាក់ទោសមន្ដ្រី
acquittal,សំរេចដោះលែង
acquittals,ត្រូវបានដោះលែង
acquittance,ការលើកលែងទោស
acquitted,ការលើកលែង
acquitting,ការលើកលែង
acre,ទំហំ
acreage,ផ្ទៃដី
acres,ហិចតា
acrid,ឈួល
acrimonious,ភាពជូរចត់
acrimoniously,ភាពជូរចត់
acrimony,ភាពជូរចត់
acrobat,កីឡាកាយសម្ព័ន្ធ
acrobatic,កីឡាកាយសម្ព័ន្ធ
acrobatics,កីឡាកាយសម្ព័ន្ធ
acrobats,កីឡាកាយសម្ព័ន្ធ
acronym,អក្សរកាត់
acronyms,កាត់
across,នៅទូទាំង
acrostic,acrostic
acrostics,acrostics
acrylic,acrylic
acrylics,acrylics
act,ធ្វើសកម្មភាព
acted,បានប្រព្រឹត្ដ
acting,ការសម្ដែង
actings,actings
actinides,actinides
action,សកម្មភាព
actionable,សកម្មភាព
actions,សកម្មភាព
activate,ដំណើរការ
activated,ធ្វើឱ្យសកម្ម
activates,សកម្មភាព
activating,សកម្មភាព
activation,ការធ្វើឱ្យសកម្ម
activations,សកម្មភាព
activator,សកម្ម
activators,សកម្មភាព
active,សកម្ម
actively,យ៉ាងសកម្ម
actives,សកម្មភាព
activism,សកម្មភាព
activist,សកម្មជន
activists,សកម្មជន
activities,សកម្មភាព
activity,សកម្មភាព
actor,តារាសម្តែង
actors,តារាសម្ដែង
actress,តារាសម្តែង
actresses,តារាសម្តែង
acts,អំពើ
actual,ពិតប្រាកដ
actualisation,ពិត
actualise,ជាការពិត
actualised,actualised
actualities,ពិតប្រាកដ
actuality,ពិត
actually,ជាការពិត
actuarial,actuarial
actuaries,actuarial
actuary,Actuary
actuate,actuate
actuated,actuated
actuates,actuates
actuating,actuating
actuation,actuation
actuator,actuator
actuators,actuators
acuity,acuity
acumen,ការ acumen
acupuncture,ចាក់ម្ជុលវិទ្យាសាស្ត្រ
acupuncturist,acupuncturist
acupuncturists,acupuncturists
acute,ស្រួចស្រាវ
acutely,ធ្ងន់ធ្ងរ
acuteness,ស្រួចស្រាវ
acuter,ស្រួចស្រាវ
acutest,acutest
acyclic,acyclic
adage,ពាក្យចាស់
adages,adage
adagio,Adagio
adam,អាដាម
adamant,ចចេស
adamantly,ដាច់ខាត
adapt,សម្របខ្លួន
adaptability,អាដាប់ធ័រ
adaptable,អាដាប់ធ័រ
adaptation,ការបន្ស៊ាំ
adaptations,អាដាប់ធ័រ
adapted,ប្រែប្រួល
adapter,អាដាប់ធ័រ
adapters,អាដាប់ទ័រ
adapting,សម្របខ្លួន
adaptive,សម្របសម្រួល
adaptively,អាដាប់ធ័រ
adaptivity,អាដាប់ធ័រ
adaptor,អាដាប់ធ័រ
adaptors,អាដាប់ទ័រ
adapts,adapts
add,បន្ថែម
added,បានបន្ថែម
addenda,ឯកសារភ្ជាប់
addendum,សេចក្តីបន្ថែម
adder,ពស់វែក
adders,adder
addict,ញៀន
addicted,ញៀន
addiction,ការញៀន
addictions,ញៀន
addictive,ញៀន
addictiveness,គ្រឿងញៀន
addicts,ញៀន
adding,លោកបានបន្ថែម
addition,ការបន្ថែម
additional,បន្ថែម
additionally,លើសពីនេះទៀត
additions,ការបន្ថែម
additive,បន្ថែម
additively,លើសពីនេះទៀត
additives,ការបន្ថែម
addle,addle
addled,addled
addles,addles
addling,addling
address,អាសយដ្ឋាន
addressability,អាសយដ្ឋាន
addressable,អាសយដ្ឋាន
addressed,បានដោះស្រាយ
addressee,សំបុត្រ
addressees,សំបុត្រ
addresses,អាសយដ្ឋាន
addressing,ការដោះស្រាយ
adds,បន្ថែម
adduce,adduce
adduced,adduced
adduces,adduces
adducing,adducing
adelaide,Adelaide
aden,Aden
adenine,adenine
adenoid,ចោល
adenoids,ចោល
adenoma,adenoma
adenomas,adenoma
adept,ស្ទាត់ជំនាញ
adepts,ស្ទាត់ជំនាញ
adequacy,ភាពគ្រប់គ្រាន់
adequate,គ្រប់គ្រាន់
adequately,គ្រប់គ្រាន់
adhere,ប្រកាន់ខ្ជាប់
adhered,ប្រកាន់ខ្ជាប់
adherence,ការប្រកាន់ខ្ជាប់
adherent,កាន់លទ្ធិ
adherents,ការប្រកាន់
adherer,ការប្រកាន់ខ្ជាប់
adherers,ការប្រកាន់ខ្ជាប់
adheres,ការប្រកាន់ខ្ជាប់
adhering,ប្រកាន់ខ្ជាប់
adhesion,ការ adhesion
adhesions,adhesive
adhesive,ដេលចាប់តាម
adhesiveness,adhesive
adhesives,ស្អិត
adhoc,អាដហុក
adiabatic,adiabatic
adiabatically,adiabatic
adieu,លាហើយអាស៊ី
adieus,លាហើយអាស៊ី
adieux,Adieux
adios,adios
adipose,ខ្លាញ់
adit,adit
adjacency,នៅជាប់គ្នា
adjacent,នៅជាប់គ្នា
adjacently,នៅជាប់គ្នា
adjectival,adjectival
adjective,គុណនាម
adjectives,គុណនាម
adjoin,ជាប់
adjoined,ជាប់
adjoining,ជាប់
adjoins,ជាប់
adjourn,ផ្អាក
adjourned,ផ្អាក
adjourning,ផ្អាក
adjournment,ការពន្យារពេល
adjourns,ចប់
adjudge,adjudge
adjudged,adjudged
adjudges,adjudges
adjudicate,វិនិច្ឆ័យ
adjudicated,វិនិច្ឆ័យ
adjudicates,វិនិច្ឆ័យ
adjudicating,វិនិច្ឆ័យ
adjudication,វិនិច្ឆ័យ
adjudications,វិនិច្ឆ័យ
adjudicator,អ្នកវិនិច្ឆ័យរបស់
adjudicators,ជំរៈក្តី
adjunct,ជំនួយ
adjuncts,ជំនួយ
adjure,adjure
adjust,លៃតម្រូវ
adjustable,លៃតម្រូវ
adjusted,លៃតម្រូវ
adjuster,ករែកសំរួល
adjusting,លៃតម្រូវ
adjustment,ការលៃតម្រូវ
adjustments,ការលៃតម្រូវ
adjusts,ករែកសំរួល
adjutant,ជំនួយ
adlib,adlib
adlibs,adlibs
adman,adman
admen,admen
admin,គ្រប់គ្រង
administer,គ្រប់គ្រង
administered,គ្រប់គ្រង
administering,គ្រប់គ្រង
administers,គ្រប់គ្រង
administrate,រដ្ឋបាល
administrated,រដ្ឋបាល
administrating,រដ្ឋបាល
administration,រដ្ឋបាល
administrations,រដ្ឋបាល
administrative,រដ្ឋបាល
administratively,ផ្នែករដ្ឋបាល
administrator,អ្នកគ្រប់គ្រង
administrators,អ្នកគ្រប់គ្រង
admirable,គួរឱ្យកោតសរសើរ
admirably,កោតសរសើរ
admiral,ឧត្តមនាវី
admirals,គួរឱ្យកោតសរសើរ
admiration,កោតសរសើរ
admire,Admire
admired,សរសើរ
admirer,កោត
admirers,ការកោតសរសើរ
admires,គួរឱ្យកោតសរសើរ
admiring,គួរឱ្យកោតសរសើរ
admiringly,សរសើរ
admissibility,អាចទទួលយកបាន
admissible,ទទួលយក
admission,ការចូលរៀន
admissions,ចូល
admit,សារភាព
admits,សារភាពថា
admittance,សិតិ្ធចុលបាន
admittances,សិតិ្ធចុលបាន
admitted,បានទទួលស្គាល់ថា
admittedly,ជំរឿន
admitting,សារភាព
admix,admixed
admixture,admixture
admonish,ដាស់តឿន
admonished,ដាស់តឿន
admonishes,ដាស់តឿន
admonishing,ដាស់តឿន
admonishment,ដាស់តឿន
admonition,ការដាស់តឿន
admonitions,យោបល់
admonitory,admonitory
ado,ការជ្រួលច្របល់
adobe,Adobe
adolescence,វ័យជំទង់
adolescent,វ័យជំទង់
adolescents,ក្មេងជំទង់
adonis,Adonis
adopt,អនុម័ត
adopted,បានអនុម័ត
adopter,អនុម័ត
adopting,ការទទួលយក
adoption,ការអនុម័ត
adoptions,ការសុំកូនចិញ្ចឹម
adoptive,ចិញចឹម
adopts,ការអនុម័ត
adorable,គួរអោយស្រឡាញ់
adorably,គួរអោយស្រឡាញ់
adoration,ការកោតស្ងើច
adore,គួរអោយស្រឡាញ់
adored,ទីស្រឡាញ់
adorer,គួរអោយស្រឡាញ់
adorers,គួរអោយស្រឡាញ់
adores,គួរអោយស្រឡាញ់
adoring,យ៉ាងស្មោះស្ម័គ្រ
adoringly,adoringly
adorn,ការតុបតែង
adorned,តុបតែង
adorning,ការតុបតែង
adornment,ការតុបតែង
adornments,ការតុបតែង
adorns,ការតុបតែង
adrenal,ជម្ងឺ
adrenalin,adrenalin
adrenaline,ថ្នាំ adrenaline
adrift,តាមយថាកម្ម
adroit,adroit
adroitly,adroitly
adroitness,adroitness
adsorb,adsorbent
adsorbed,adsorbent
adsorption,adsorption
adulation,សរសើរ
adulatory,adulatory
adult,មនុស្សពេញវ័យ
adulterate,អ្នកប្រព្រឹត្ដ
adulterated,ក្លែងក្លាយ
adulterates,អ្នកប្រព្រឹត្ដ
adulterating,អ្នកប្រព្រឹត្ដ
adulteration,លួច
adulterations,អ្នកប្រព្រឹត្ដ
adulterer,អ្នកប្រព្រឹត្ដ
adulterers,ផិតក្បត់
adulteress,ស្ដ្រីផិតក្បត់
adulteresses,ស្ដ្រីផិតក្បត់
adulterous,ក្បត់
adultery,ការផិតក្បត់
adulthood,មនុស្សពេញវ័យ
adults,មនុស្សពេញវ័យ
adumbrate,adumbrate
adumbrated,adumbrated
adumbrating,adumbrating
advance,មុន
advanced,កម្រិតខ្ពស់
advancement,ការអភិវឌ្ឍ
advancements,ការរីកចំរើន
advancer,កម្រិតខ្ពស់
advances,បុ
advancing,ទៅមុខ
advantage,អត្ថប្រយោជន៍
advantaged,ផលប្រយោជន៍
advantageous,គុណសម្បត្តិ
advantageously,គុណសម្បត្តិ
advantages,គុណសម្បត្តិ
advent,ការមកដល់
advents,វត្តមាន
adventure,ការផ្សងព្រេង
adventured,ការផ្សងព្រេង
adventurer,ផ្សងព្រេង
adventurers,អ្នកផ្សងព្រេងនិសា
adventures,ដំណើរផ្សងព្រេង
adventuring,ផ្សងព្រេង
adventurism,ការផ្សងព្រេង
adventurous,ការផ្សងព្រេង
adventurously,ការផ្សងព្រេង
adverb,គុណកិរិយា
adverbial,adverbial
adverbs,adverbs
adversarial,តទល់
adversaries,ខ្មាំងសត្រូវ
adversary,មារស
adverse,អវិជ្ជមាន
adversely,យ៉ាងធ្ងន់ធ្ងរ
adversities,ទុក្ខលំបាក
adversity,ទុក្ខលំបាក
advert,ផ្សព្វផ្សាយ
adverted,ការផ្សាយពាណិជ្ជកម្ម
advertise,ផ្សព្វផ្សាយ
advertised,ផ្សាយពាណិជ្ជកម្ម
advertisement,ការផ្សព្វផ្សាយ
advertisements,ផ្សព្វផ្សាយពាណិជ្ជកម្ម
advertiser,ផ្សាយពាណិជ្ជកម្ម
advertisers,ការផ្សព្វផ្សាយពាណិជ្ជកម្ម
advertises,ការផ្សព្វផ្សាយពាណិជ្ជកម្ម
advertising,ការផ្សព្វផ្សាយពាណិជ្ជកម្ម
adverts,ការផ្សាយពាណិជ្ជកម្ម
advice,ដំបូន្មាន
advices,យោបល់
advisability,ទីប្រឹក្សា
advisable,ការគួរ
advise,យោបល់
advised,បានណែនាំ
advisedly,advisedly
adviser,ទីប្រឹក្សា
advisers,ទីប្រឹក្សា
advises,បានផ្តល់ដំបូន្មានដល់
advising,ផ្តល់យោបល់ដល់
advisory,ប្រឹក្សាយោបល់
advocacy,ការតស៊ូមតិ
advocate,អ្នកតស៊ូមតិ
advocated,គាំទ្រ
advocates,ការតស៊ូមតិ
advocating,ការតស៊ូមតិ
adze,adze
aegean,Aegean
aegina,aegina
aegis,ការឧបត្ថម្ភគាំទ្រ
aeolian,aeolian
aeon,អ៊ីអន
aeons,រាប់សិបលានឆ្នាំ
aerate,aerated
aerated,aerated បាន
aerates,aerated
aerating,aerated
aeration,aeration
aerator,aerated
aerial,ពីលើអាកាស
aerially,ពីលើអាកាស
aerials,ពីលើអាកាស
aerify,aerify
aerobatic,ចលនាក្រឡាប់ចុះឡើង
aerobatics,នៃកាយសាស្ត្រ
aerobe,ការរាំតាមចង្វាក់
aerobes,ការរាំតាមចង្វាក់
aerobic,ហាត់ប្រាណ
aerobically,ការរាំតាមចង្វាក់
aerobics,រាំតាមចង្វាក់
aerobraking,aerobraking
aerodrome,aerodrome
aerodromes,aerodromes
aerodynamic,ឌីណា
aerodynamically,ឌីណា
aerodynamics,ឌីណា
aerofoil,aerofoil
aerofoils,aerofoils
aeronaut,អាកាសចរណ៍
aeronautic,អាកាសចរណ៍
aeronautical,អាវកាស
aeronautics,អាកាសចរណ៍វិទ្យា
aeroplane,យន្តហោះ
aeroplanes,យន្តហោះ
aerosol,រស់
aerosols,កំហាប់ឧស្ម័ន
aerospace,ក្រុមហ៊ុនផលិតយន្តហោះ
aesop,aesop
aesthete,សោភណ្ឌភាព
aesthetes,សាភ័ណភ្ព
aesthetic,សាភ័ណភ្ព
aesthetically,ស្រះ
aestheticism,aestheticism
aestheticsy,aestheticsy
afar,ពីចម្ងាយ
affability,គ្រូបង្វឹកវ័យ
affable,គ្រូបង្វឹកវ័យ
affably,គ្រូបង្វឹកវ័យ
affair,ការងារ
affairs,កិច្ចការ
affect,ប៉ះពាល់ដល់
affectation,ដែលទទួលរងផលប៉ះពាល់
affectations,រងផលប៉ះពាល់
affected,រងផលប៉ះពាល់
affectedly,affectedly
affecting,ប៉ះពាល់ដល់
affection,សេចក្ដីស្រឡាញ់
affectionate,ស្រលាញ់
affectionately,ស្រឡាញ់
affections,ស្នេហា
affective,ផលប៉ះពាល់
affects,ប៉ះពាល់ដល់
afferent,afferent
affidavit,សំបុត្រភស្តុតាង
affidavits,សំបុត្រភស្តុតាង
affiliate,អ្នកគ្រប់គ្រង
affiliated,ពាក់ព័ន្ធ
affiliates,សាខា
affiliating,បុត្រសម្ព័ន្ធ
affiliation,ដោយសាររឿងចូល
affiliations,សម្ព័ន្ធភាព
affine,ដូចគ្នា
affinities,លក្ខណៈស្រដៀងនឹង
affinity,ដូចគ្នា
affirm,បញ្ជាក់
